"specimen","Condition","Tcells_count","lymphocytes_count","CD45_count","CD4_positive","CD8_positive"
"INF0158","PPD",257109,566004,954296,0.51,0.43
"INF0159","PPD",435293,739297,1112879,0.72,0.22
"INF0159","PPD",277402,632369,998207,0.48,0.4
"INF0159","PPD",473302,546835,655255,0.63,0.33
"INF0155","SEB",413420,967587,1332783,0.68,0.23
"INF0155","SEB",332018,589367,691118,0.7,0.24
"INF0158","SEB",276075,788314,1275881,0.59,0.36
"INF0158","SEB",77862,387150,699492,0.54,0.41
"INF0158","SEB",203043,465454,788745,0.5,0.44
"INF0159","SEB",449101,783347,1233616,0.71,0.23
"INF0159","SEB",277396,621671,980926,0.47,0.42
"INF0159","SEB",208960,264053,325961,0.61,0.35
"INF0013","Ctrl",182751,627784,836573,0.85,0.12
"INF0013","Ctrl",281544,473664,788604,0.53,0.12
"INF0013","Ctrl",209346,282969,380430,0.63,0.33
"INF0023","Ctrl",218435,680906,968035,0.74,0.2
"INF0023","Ctrl",460826,1083175,1307804,0.71,0.24
"INF0023","Ctrl",314132,525176,639892,0.58,0.33
"INF0030","Ctrl",85521,401205,732321,0.65,0.3
"INF0030","Ctrl",258250,440126,536358,0.61,0.3
"INF0030","Ctrl",489165,668650,759205,0.53,0.39
"INF0013","PPD",182108,640422,843590,0.85,0.12
"INF0013","PPD",189329,324923,615551,0.56,0.36
"INF0013","PPD",261044,346934,464537,0.62,0.34
"INF0023","PPD",222251,757525,1048767,0.73,0.2
"INF0023","PPD",442707,1073086,1314066,0.71,0.23
"INF0023","PPD",296169,503576,614541,0.59,0.32
"INF0030","PPD",82658,380296,673857,0.65,0.3
"INF0030","PPD",269391,485271,592064,0.6,0.31
"INF0030","PPD",625597,862245,970490,0.54,0.38
"INF0013","SEB",187955,634749,867533,0.77,0.18
"INF0013","SEB",205771,339517,653038,0.53,0.4
"INF0013","SEB",127799,170847,218581,0.63,0.34
"INF0023","SEB",245172,734030,1054847,0.66,0.23
"INF0023","SEB",453500,1070908,1318180,0.7,0.25
"INF0023","SEB",261350,480662,585400,0.56,0.36
"INF0030","SEB",87991,398086,732006,0.61,0.33
"INF0030","SEB",229988,419154,490896,0.59,0.32
"INF0030","SEB",583119,812850,926978,0.54,0.39
"INF0166","Ctrl",225650,457739,739495,0.84,0.14
"INF0166","Ctrl",231122,476245,598027,0.67,0.26
"INF0166","Ctrl",354348,560988,698484,0.7,0.24
"INF0199","Ctrl",169736,797492,1112176,0.55,0.37
"INF0199","Ctrl",188750,361676,639373,0.29,0.53
"INF0199","Ctrl",388336,575541,774996,0.34,0.53
"INF0207","Ctrl",39055,356852,905365,0.65,0.25
"INF0207","Ctrl",174809,469311,573683,0.45,0.45
"INF0207","Ctrl",341997,568106,729712,0.7,0.24
"INF0166","PPD",287341,604142,912401,0.84,0.14
"INF0166","PPD",229479,460120,580022,0.68,0.25
"INF0166","PPD",344436,539166,666724,0.7,0.24
"INF0199","PPD",155310,697308,960247,0.55,0.37
"INF0199","PPD",194829,355207,592802,0.27,0.55
"INF0199","PPD",330254,466636,603141,0.31,0.56
"INF0207","PPD",38724,345700,790680,0.65,0.25
"INF0207","PPD",172564,465599,640947,0.4,0.5
"INF0207","PPD",365357,645599,702179,0.68,0.26
"INF0166","SEB",328840,620906,1006028,0.82,0.14
"INF0166","SEB",201010,406600,511111,0.64,0.29
"INF0166","SEB",351974,573086,703382,0.68,0.26
"INF0199","SEB",136480,726424,1024741,0.53,0.38
"INF0199","SEB",200002,374720,621032,0.24,0.58
"INF0199","SEB",132098,191787,240956,0.32,0.55
"INF0207","SEB",36036,312543,801074,0.42,0.39
"INF0207","SEB",156863,435133,523880,0.41,0.5
"INF0207","SEB",221304,402023,446958,0.68,0.26
"INF0614","Ctrl",224396,1130412,1569007,0.54,0.38
"INF0614","Ctrl",163115,423783,666232,0.34,0.53
"INF0614","Ctrl",126360,329490,648783,0.27,0.58
"INF0622","Ctrl",161924,329095,939307,0.67,0.2
"INF0622","Ctrl",291052,434924,570580,0.72,0.2
"INF0627","Ctrl",191328,322304,608173,0.71,0.23
"INF0614","PPD",195461,1056211,1360009,0.53,0.39
"INF0614","PPD",194236,468273,688585,0.34,0.53
"INF0614","PPD",113124,362955,760542,0.26,0.58
"INF0622","PPD",162742,334223,809182,0.67,0.2
"INF0622","PPD",285674,372945,455133,0.72,0.2
"INF0622","PPD",291251,438573,579322,0.72,0.2
"INF0627","PPD",227988,437027,798574,0.8,0.15
"INF0627","PPD",194169,315656,564577,0.71,0.23
"INF0614","SEB",188308,1124974,1569343,0.51,0.4
"INF0622","SEB",160599,316077,852899,0.66,0.2
"INF0622","SEB",189766,292228,373954,0.72,0.21
"INF0627","SEB",134506,229306,411254,0.69,0.26
